date,mtm,option symbol
2021-02-01,0.0,SPX   210219C03815000
2021-02-02,-24.299999999999997,SPX   210219C03815000
2021-02-03,-20.349999999999994,SPX   210219C03815000
2021-02-04,-41.64999999999999,SPX   210219C03815000
2021-02-05,-48.849999999999994,SPX   210219C03815000
2021-02-08,-67.64999999999999,SPX   210219C03815000
2021-02-09,-66.85000000000001,SPX   210219C03815000
2021-02-10,-66.39999999999999,SPX   210219C03815000
2021-02-11,-63.55,SPX   210219C03815000
2021-02-12,-82.7,SPX   210219C03815000
2021-02-16,-73.45,SPX   210219C03815000
2021-02-17,-71.99999999999999,SPX   210219C03815000
2021-02-18,-56.55,SPX   210219C03815000
2021-02-19,-48.01000000000003,SPX   210219C03815000
